Month,School_1,School_2,School_3,School_4,School_5,School_6,School_7,School_8,School_9,School_10
January,505,692,670,657,648,754,533,623,544,634
February,686,710,631,578,750,520,526,512,553,715
March,531,405,378,343,433,474,329,315,581,344
April,578,343,308,585,555,539,409,425,529,453
May,539,324,479,348,584,529,348,391,526,363
June,311,488,380,504,396,415,368,462,456,529
July,295,283,239,144,255,214,240,105,127,215
August,195,100,123,156,170,232,129,231,237,265
September,550,368,414,571,481,338,584,521,522,394
October,592,571,416,584,430,350,598,546,487,440
November,342,537,342,393,430,345,404,374,400,392
December,727,570,632,709,687,540,625,625,600,674
